nameFirst,nameLast,username,password,isCorporate,cardNum,cvv,expiration,addressSeparatedByPeriods,name
firstname,lastname,user,pass,false
firstname,lastname,userCorporate,pass,false
Emma,Johnson,ejohnson,Pa$$w0rd1,false
James,Davis,jdavis,SecurePassword2,false
Olivia,Wilson,owilson,MyP@ssword3,false
Liam,Brown,lbrown,StrongPassword4,false
Ava,Miller,amiller,S3cur3P@ssword5,false
William,Moore,wmoore,Password6!,false
Sophia,Taylor,staylor,C0mpl3xPassw0rd7,false
Benjamin,Anderson,banderson,P@ssword8,false
Sarah,Jackson,sjackson,P@ssw0rd9,false
Michael,Williams,mwilliams,Pa$$word10,false
Nicholas,Jones,njones,Passw0rd11,false
Hannah,Baker,hbaker,StrongP@ssword12,false
Ethan,Wright,ewright,S3cur3P@ssword13,false
Leah,Campbell,lcampbell,P@ssword14,false
David,Lee,dlee,C0mpl3xPassw0rd15,false
Grace,Clark,gclark,P@ssw0rd16,false
Jacob,Young,jyoung,StrongPassword17,false
Abigail,Harris,aharris,S3cur3P@ssword18,false
Mason,Allen,mallen,Pa$$word19,false
Sophie,King,sking,ComplexPassword20,false
new,guest,newguest,pass,true
